SS1,SS2,Similarity
novamov.co,thevideo.me,33.99209486166008
novamov.co,thevideobee.to,24.817518248175183
novamov.co,veehd.co,4.701627486437613
novamov.co,veoh.co,11.35646687697161
novamov.co,videoweed.co,53.01204819277109
novamov.co,videoweed.es,53.01204819277109
novamov.co,vidlox.tv,25.925925925925924
novamov.co,vidto.me,6.1465721040189125
novamov.co,vidtodo.co,21.62162162162162
novamov.co,vidup.me,9.418282548476455
novamov.co,vidzi.tv,23.52941176470588
novamov.co,watchers.to,10.238907849829351
nowvideo.sx,openload.co,30.275229357798167
nowvideo.sx,speedvid.ne,24.291497975708502
nowvideo.sx,streamango.co,8.860759493670885
nowvideo.sx,streamflv.co,4.069767441860465
nowvideo.sx,streamin.to,32.432432432432435
nowvideo.sx,streamplay.to,34.17085427135678
nowvideo.sx,thevideo.me,36.666666666666664
nowvideo.sx,thevideobee.to,21.455938697318008
nowvideo.sx,veehd.co,7.037037037037037
nowvideo.sx,veoh.co,5.263157894736842
nowvideo.sx,videoweed.co,75.81699346405229
nowvideo.sx,videoweed.es,75.81699346405229
nowvideo.sx,vidlox.tv,36.45320197044335
nowvideo.sx,vidto.me,5.365853658536586
nowvideo.sx,vidtodo.co,20.32520325203252
nowvideo.sx,vidup.me,7.471264367816093
nowvideo.sx,vidzi.tv,26.751592356687897
nowvideo.sx,watchers.to,8.571428571428571
openload.co,speedvid.ne,31.775700934579437
openload.co,streamango.co,13.846153846153847
openload.co,streamflv.co,6.698564593301436
openload.co,streamin.to,28.22822822822823
openload.co,streamplay.to,36.63003663003663
openload.co,thevideo.me,28.662420382165603
openload.co,thevideobee.to,23.88059701492537
openload.co,veehd.co,5.211726384364821
openload.co,veoh.co,5.82010582010582
openload.co,videoweed.co,29.074889867841406
openload.co,videoweed.es,29.074889867841406
openload.co,vidlox.tv,31.768953068592058
openload.co,vidto.me,6.6115702479338845
openload.co,vidtodo.co,22.5
openload.co,vidup.me,8.530805687203792
openload.co,vidzi.tv,21.645021645021643
openload.co,watchers.to,15.819209039548024
speedvid.ne,streamango.co,4.295942720763723
speedvid.ne,streamflv.co,4.026845637583892
speedvid.ne,streamin.to,28.176795580110497
speedvid.ne,streamplay.to,21.85430463576159
speedvid.ne,thevideo.me,30.32069970845481
speedvid.ne,thevideobee.to,39.010989010989015
speedvid.ne,veehd.co,5.287713841368585
speedvid.ne,veoh.co,3.9312039312039313
speedvid.ne,videoweed.co,24.21875
speedvid.ne,videoweed.es,24.21875
speedvid.ne,vidlox.tv,34.64052287581699
speedvid.ne,vidto.me,6.627680311890838
speedvid.ne,vidtodo.co,38.39541547277937
speedvid.ne,vidup.me,4.878048780487805
speedvid.ne,vidzi.tv,31.538461538461537
speedvid.ne,watchers.to,3.6553524804177546
streamango.co,streamflv.co,3.875968992248062
streamango.co,streamin.to,21.34570765661253
streamango.co,streamplay.to,35.57951482479784
streamango.co,thevideo.me,33.49514563106796
streamango.co,thevideobee.to,20.323325635103924
streamango.co,veehd.co,4.775280898876404
streamango.co,veoh.co,4.201680672268908
streamango.co,videoweed.co,20.923076923076923
streamango.co,videoweed.es,20.923076923076923
streamango.co,vidlox.tv,26.13333333333333
streamango.co,vidto.me,6.529209621993128
streamango.co,vidtodo.co,18.181818181818183
streamango.co,vidup.me,6.923076923076923
streamango.co,vidzi.tv,17.62917933130699
streamango.co,watchers.to,6.1946902654867255
streamflv.co,streamin.to,23.52941176470588
streamflv.co,streamplay.to,37.092731829573935
streamflv.co,thevideo.me,19.545454545454547
streamflv.co,thevideobee.to,35.57483731019523
streamflv.co,veehd.co,5.135135135135135
streamflv.co,veoh.co,3.1746031746031744
streamflv.co,videoweed.co,26.628895184135974
